"행정구역","2018년12월_전체세대","2018년12월_1인세대","2018년12월_2인세대","2018년12월_3인세대","2018년12월_4인세대","2018년12월_5인세대","2018년12월_6인세대","2018년12월_7인세대","2018년12월_8인세대","2018년12월_9인세대","2018년12월_10인이상세대"
"전국  (1000000000)","22,042,947","8,085,526","4,929,337","3,984,045","3,751,927","997,900","219,260","52,850","13,983","4,340","3,779"
"서울특별시  (1100000000)","4,263,868","1,679,049","891,792","768,663","704,778","168,321","37,669","9,452","2,699","841","604"
"부산광역시  (2600000000)","1,480,468","532,193","354,350","278,978","237,961","59,678","13,065","3,034","762","242","205"
"대구광역시  (2700000000)","1,021,266","344,096","234,512","198,747","186,532","45,355","9,292","2,041","444","130","117"
"인천광역시  (2800000000)","1,213,201","407,706","265,665","238,828","228,408","57,078","11,732","2,724","696","194","170"
"광주광역시  (2900000000)","603,107","211,663","130,851","111,004","107,893","33,174","6,568","1,366","363","114","111"
"대전광역시  (3000000000)","624,965","225,131","135,800","114,707","110,729","30,179","6,385","1,426","402","103","103"
"울산광역시  (3100000000)","461,756","143,657","100,801","93,980","95,884","22,177","3,995","911","228","68","55"
"세종특별자치시  (3600000000)","123,762","39,699","25,021","23,917","25,777","7,314","1,513","382","91","28","20"
"경기도  (4100000000)","5,306,214","1,779,427","1,117,005","1,021,477","1,051,942","262,829","55,045","13,108","3,584","1,055","742"
"강원도  (4200000000)","707,245","292,968","173,295","112,325","91,497","27,823","6,966","1,733","404","123","111"
"충청북도  (4300000000)","707,220","278,667","168,176","115,396","103,810","31,460","7,338","1,683","391","150","149"
"충청남도  (4400000000)","943,611","376,190","223,702","150,550","137,277","42,314","9,972","2,549","662","211","184"
"전라북도  (4500000000)","806,235","313,716","196,780","129,623","112,534","39,995","9,818","2,565","694","231","279"
"전라남도  (4600000000)","860,303","361,281","213,347","126,625","105,114","39,741","10,093","2,724","775","278","325"
"경상북도  (4700000000)","1,207,351","479,564","302,248","196,925","166,465","47,050","11,243","2,690","708","216","242"
"경상남도  (4800000000)","1,425,271","505,587","334,894","256,030","243,636","66,330","14,208","3,247","786","259","294"
"제주특별자치도  (5000000000)","287,104","114,932","61,098","46,270","41,690","17,082","4,358","1,215","294","97","68"
